T	3220
W	1121
symbol	2843
number	298
A	4075
B	2813
C	3760
D	3381
E	1693
F	1173
G	1628
H	1542
I	1054
J	3712
K	2421
L	2576
M	4625
N	1918
O	674
P	2164
Q	130
R	2544
S	4676
U	505
V	790
X	55
Y	305
Z	296
a	577
b	445
c	511
d	349
e	267
f	194
g	202
h	216
i	220
j	478
k	404
l	377
m	614
n	244
o	88
p	299
q	13
r	283
s	755
t	419
u	59
v	111
w	164
x	38
y	86
z	67
Á	5
Ä	3
Å	1
É	1
Ë	1
Ï	1
Ó	2
Ö	1
Ø	2
Ü	1
ß	2
á	1
æ	1
è	1
ë	1
ó	1
ü	1
þ	1
Ā	1
Ą	1
Ĉ	1
ċ	1
Č	2
Đ	1
đ	1
ħ	1
İ	1
ı	3
ĸ	1
Ł	2
ş	1
Ŧ	1
ū	1
Ɗ	1
Ƒ	2
Ɠ	1
ƙ	1
Ƥ	1
Ƹ	1
ǝ	1
ǟ	1
Ƀ	1
Ɍ	1
ɐ	1
ɑ	1
ɕ	1
ɖ	1
ɢ	2
ɥ	1
ɦ	1
ɮ	1
ɱ	2
ɴ	5
ɾ	1
ʀ	1
ʂ	1
ʆ	1
ʇ	1
ʊ	1
ʍ	1
ʎ	2
ʕ	2
ʙ	1
ʜ	2
ʝ	3
ʟ	5
ʦ	1
ʲ	1
ʷ	1
ʸ	1
ˢ	1
Δ	4
Ε	1
Λ	4
Μ	3
Ξ	2
Ο	1
Π	1
Χ	1
Ω	1
α	13
β	2
δ	1
ε	2
η	1
ι	1
κ	1
λ	1
ρ	1
ς	3
σ	1
υ	1
ω	2
ϟ	1
ϯ	1
А	6
Б	1
В	3
Г	2
Д	7
Е	4
З	2
И	4
К	1
Л	5
М	7
Н	8
О	1
П	1
Р	3
С	3
Т	4
Ю	3
Я	3
в	2
г	1
д	1
и	1
к	1
м	1
н	1
п	1
т	2
ф	1
э	1
ѕ	6
ҍ	1
ғ	2
Ҝ	1
ҡ	2
Ա	1
Շ	1
א	2
ג	1
כ	1
מ	1
נ	1
ש	1
ء	1
آ	2
أ	10
إ	5
ا	45
ب	6
ت	1
ج	2
ح	3
خ	3
د	7
ر	5
ز	3
س	14
ش	5
ص	3
ض	2
ط	4
ع	22
غ	1
ف	6
ق	1
ك	3
ل	1
م	26
ن	12
ه	4
و	5
ي	3
अ	1
इ	1
ई	1
च	1
प	3
भ	1
म	1
व	2
श	3
स	3
ॐ	7
ख़	1
প	1
ਇ	1
આ	1
પ	1
ૐ	1
ଓ	1
ପ	1
ସ	1
அ	1
க	1
క	1
ಇ	1
ಡ	1
റ	1
บ	1
ป	1
ภ	1
ร	2
ห	1
แ	1
ไ	1
ღ	3
ც	1
ᄅ	1
ኤ	1
ዮ	1
Ꭶ	1
Ꭻ	1
Ꭼ	1
Ꭿ	1
Ꮆ	2
Ꮇ	1
Ꮛ	1
Ꮢ	1
Ꮪ	1
Ꮮ	1
Ꮯ	1
Ꮸ	1
Ᏼ	1
ᑭ	2
ᒍ	1
ᒪ	1
ᕕ	1
ᕼ	2
ᗡ	1
ᗩ	1
ᗪ	1
ᗷ	1
ᙏ	1
ᛋ	1
ᜆ	1
ᴀ	6
ᴄ	2
ᴅ	6
ᴇ	1
ᴊ	6
ᴋ	1
ᴍ	6
ᴘ	2
ᴚ	1
ᴛ	3
ᴠ	1
ᴡ	1
ᴿ	1
ᵈ	2
ᵍ	1
ᵔ	1
ᶜ	1
ḓ	1
Ḽ	1
Ọ	1
ℂ	1
ℊ	1
ℑ	3
ℒ	2
ℓ	1
ℕ	1
ℜ	1
ℤ	1
ℬ	2
ℭ	4
ℰ	1
ℳ	5
ℹ	3
ⅆ	1
Ⱪ	1
あ	2
い	2
え	1
か	2
が	1
く	1
さ	1
と	1
は	1
ふ	1
み	1
も	1
ゆ	1
よ	3
ゔ	1
ァ	1
ア	3
イ	1
エ	1
オ	1
カ	1
キ	2
ク	1
ケ	1
サ	1
シ	1
ジ	4
ス	1
タ	1
ダ	2
ッ	1
ツ	2
デ	1
ト	1
ド	3
ナ	1
ニ	1
ハ	1
パ	2
フ	1
ベ	2
マ	4
ミ	1
メ	2
モ	2
ラ	1
リ	3
ル	2
レ	2
ㅂ	1
ㅊ	1
ㅡ	1
ㅤ	9
上	1
乇	2
保	1
凛	1
名	1
唐	1
善	1
天	1
女	1
娜	1
寿	1
小	2
岩	1
庄	1
慧	1
我	1
承	2
折	1
抱	1
招	1
文	1
明	1
最	1
权	1
林	1
株	1
桜	1
沖	1
沛	1
法	1
渦	1
溺	1
無	1
爪	2
玉	1
王	1
真	1
眠	1
空	1
自	1
荼	1
藤	1
许	1
雨	1
雪	1
靜	1
音	1
香	1
骗	1
鬼	1
黃	1
黑	1
ꋧ	1
ꙮ	2
강	1
거	1
고	1
광	1
김	2
나	3
니	2
단	2
데	1
래	1
매	1
모	1
문	1
미	1
민	1
박	1
방	1
배	1
보	1
비	1
빛	1
석	1
선	1
세	1
슈	1
슨	1
시	1
아	3
안	1
알	1
어	1
언	2
엘	2
영	1
예	1
유	1
이	3
자	1
정	4
제	2
준	1
지	1
질	1
카	1
크	1
킨	1
토	1
툥	1
하	2
한	1
현	1
히	1
Ａ	1
Ｃ	3
Ｅ	2
Ｇ	1
Ｌ	2
Ｍ	2
Ｐ	1
Ｒ	2
Ｓ	1
Ｔ	3
ｋ	1
ｍ	2
ｐ	1
ｓ	1
ｔ	1
𓅓	1
𓋹	1
𖤐	3
𝐀	2
𝐁	2
𝐂	3
𝐅	1
𝐇	2
𝐉	1
𝐌	1
𝐍	1
𝐏	1
𝐒	2
𝐛	1
𝐜	2
𝐞	1
𝐥	1
𝐦	1
𝐨	1
𝐪	1
𝐹	1
𝐻	1
𝐼	1
𝑀	1
𝑒	1
𝑪	1
𝑱	2
𝑳	2
𝒉	1
𝒌	1
𝒍	1
𝒏	1
𝒑	1
𝒔	1
𝒜	2
𝒞	3
𝒢	1
𝒥	4
𝒦	2
𝒫	1
𝒬	1
𝒮	4
𝒯	1
𝒲	2
𝒶	2
𝒸	4
𝒹	1
𝒻	3
𝒿	2
𝓁	4
𝓂	1
𝓃	1
𝓅	1
𝓇	1
𝓈	1
𝓐	2
𝓑	3
𝓒	2
𝓔	2
𝓕	2
𝓙	2
𝓚	3
𝓛	2
𝓝	1
𝓢	3
𝓣	1
𝓨	1
𝓪	1
𝓬	1
𝓳	2
𝓶	1
𝔅	2
𝔐	2
𝔒	1
𝔞	2
𝔟	2
𝔢	1
𝔥	1
𝔧	1
𝔩	2
𝔰	2
𝔱	1
𝔷	1
𝔸	2
𝔹	1
𝔻	1
𝔼	1
𝕀	2
𝕁	3
𝕃	1
𝕄	4
𝕊	3
𝕋	5
𝕍	1
𝕎	1
𝕏	1
𝕒	2
𝕔	1
𝕕	1
𝕗	1
𝕛	1
𝕝	1
𝕞	1
𝕤	1
𝕥	4
𝕬	1
𝕭	1
𝕮	2
𝕰	1
𝕳	1
𝕴	1
𝕵	2
𝕻	1
𝕽	2
𝕾	2
𝖆	4
𝖇	2
𝖉	1
𝖊	2
𝖋	1
𝖍	2
𝖏	1
𝖑	4
𝖗	1
𝖛	1
𝖳	1
𝗴	1
𝘋	1
𝘓	1
𝘙	1
𝘬	1
𝘮	1
𝘯	1
𝘳	1
𝘴	1
𝘵	1
𝘼	1
𝘽	1
𝙄	1
𝙈	1
𝙊	1
𝙍	1
𝙎	1
𝙚	1
𝙢	1
𝙣	1
𝙦	1
𝙵	2
𝙷	1
𝙹	1
𝙼	2
𝚂	1
𝚉	1
𝚊	2
𝚎	1
𝚑	1
𝚓	1
𝚔	2
𝚜	1
𝚝	2
